kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti
Kraj,Středočeský kraj,13104,8485,8437,1052,"0,11",624,35,0,597
Kraj,Středočeský kraj,191,148,148,4,"0,00",17,4,0,7
Kraj,Středočeský kraj,170,121,118,7,"0,00",15,2,0,18
Kraj,Středočeský kraj,96,80,77,6,"0,00",5,0,0,11
Kraj,Středočeský kraj,73,54,53,2,"0,00",2,0,0,4
Kraj,Středočeský kraj,598,393,393,50,"0,00",20,0,0,20
Kraj,Středočeský kraj,3490,2206,2200,204,"0,27",187,12,0,136
Kraj,Středočeský kraj,106,83,83,3,"0,00",5,0,0,4
Kraj,Středočeský kraj,93,71,71,7,"0,00",6,0,0,3
Kraj,Středočeský kraj,1140,750,744,70,"0,13",54,6,0,75
Kraj,Středočeský kraj,2195,1453,1443,200,"0,06",97,11,0,66
Kraj,Středočeský kraj,258,187,187,13,"0,00",5,2,0,15
Kraj,Středočeský kraj,129,82,82,9,"0,00",3,0,0,3
Kraj,Středočeský kraj,539,403,400,72,"0,00",20,2,0,15
Kraj,Středočeský kraj,49,40,40,0,"0,00",2,0,0,3
Kraj,Středočeský kraj,1305,830,816,52,"0,00",60,7,0,78
Kraj,Středočeský kraj,727,445,445,24,"0,00",45,2,0,66
Kraj,Středočeský kraj,70,58,57,8,"0,00",1,0,0,1
Kraj,Středočeský kraj,55,38,38,5,"0,00",6,0,0,3
Kraj,Středočeský kraj,571,375,374,27,"0,26",22,3,0,39
Kraj,Středočeský kraj,24,19,19,0,"0,00",0,0,0,1
Kraj,Středočeský kraj,237,173,173,20,"0,00",11,0,0,20
Kraj,Středočeský kraj,257,189,189,23,"0,52",6,4,0,14
Kraj,Středočeský kraj,145,114,112,8,"0,89",11,1,0,17
Kraj,Středočeský kraj,46,33,32,3,"0,00",0,1,0,2
Kraj,Středočeský kraj,278,177,176,29,"0,00",5,0,0,5
Kraj,Středočeský kraj,112,87,87,5,"0,00",3,0,0,6
Kraj,Středočeský kraj,112,95,95,4,"0,00",8,1,0,0
Kraj,Středočeský kraj,991,664,659,74,"0,15",50,4,0,51
Kraj,Středočeský kraj,58,34,34,5,"0,00",2,1,0,1
Kraj,Středočeský kraj,434,294,292,27,"0,00",29,5,0,16
Kraj,Středočeský kraj,187,123,123,20,"0,00",1,1,0,14
Kraj,Středočeský kraj,748,430,429,23,"0,00",28,2,0,34
Kraj,Středočeský kraj,104,79,79,3,"0,00",11,1,0,5
Kraj,Středočeský kraj,106,68,67,2,"0,00",4,0,0,6
Kraj,Středočeský kraj,121,82,81,17,"0,00",5,0,0,1
Kraj,Středočeský kraj,155,99,99,10,"0,00",10,1,0,10
Kraj,Středočeský kraj,245,183,182,14,"0,00",9,1,0,17
Kraj,Středočeský kraj,383,272,267,28,"0,74",35,6,0,24
Kraj,Středočeský kraj,241,171,170,21,"0,00",12,5,0,13
Kraj,Středočeský kraj,765,505,502,70,"0,19",20,3,0,27
Kraj,Středočeský kraj,361,242,241,38,"0,41",10,0,0,20
Kraj,Středočeský kraj,632,451,448,30,"0,00",24,5,0,40
Kraj,Středočeský kraj,351,222,222,17,"0,00",16,1,0,11
Kraj,Středočeský kraj,66,61,61,5,"0,00",3,0,0,3
Kraj,Středočeský kraj,567,371,370,37,"0,00",13,1,0,39
Kraj,Středočeský kraj,156,107,107,5,"1,86",10,0,0,15
Kraj,Středočeský kraj,54,39,39,2,"0,00",0,0,0,4
Kraj,Středočeský kraj,456,351,350,24,"0,00",31,4,0,28
Kraj,Středočeský kraj,563,369,365,43,"0,54",32,1,0,25
Kraj,Středočeský kraj,331,225,226,32,"0,00",11,1,0,20
Kraj,Středočeský kraj,602,421,419,26,"0,00",23,2,0,43
Kraj,Středočeský kraj,297,203,201,20,"0,00",18,1,0,24
Kraj,Středočeský kraj,728,449,449,33,"0,00",27,6,0,28
Kraj,Středočeský kraj,149,102,100,18,"0,00",2,0,0,0
Kraj,Středočeský kraj,184,114,114,8,"0,00",9,1,0,16
Kraj,Středočeský kraj,637,431,429,47,"0,00",19,4,0,34
Kraj,Středočeský kraj,881,512,509,42,"0,19",28,1,0,52
Kraj,Středočeský kraj,545,390,388,65,"0,00",24,1,0,19
Kraj,Středočeský kraj,899,575,573,64,"0,17",42,1,0,60
Kraj,Středočeský kraj,423,264,263,5,"0,00",26,4,0,21
Kraj,Středočeský kraj,2080,1238,1218,153,"0,16",81,8,0,82
Kraj,Středočeský kraj,991,664,660,44,"0,00",41,3,0,61
Kraj,Středočeský kraj,52,32,30,2,"0,00",0,0,0,4
Kraj,Středočeský kraj,292,206,205,18,"0,00",15,8,0,6
Kraj,Středočeský kraj,168,121,119,4,"1,68",13,4,0,15
Kraj,Středočeský kraj,243,161,161,21,"1,24",13,2,0,6
Kraj,Středočeský kraj,233,157,155,13,"0,00",15,1,0,18
Kraj,Středočeský kraj,987,671,669,102,"0,00",46,3,0,24
Kraj,Středočeský kraj,1030,662,653,68,"0,00",30,3,0,42
Kraj,Středočeský kraj,447,290,289,26,"0,00",19,0,0,30
Kraj,Středočeský kraj,296,222,221,39,"0,45",13,4,0,10
Kraj,Středočeský kraj,113,69,69,10,"0,00",5,0,0,7
Kraj,Středočeský kraj,1399,1014,1008,175,"0,00",60,7,0,40
Kraj,Středočeský kraj,235,168,168,38,"0,59",9,2,0,11
Kraj,Středočeský kraj,296,184,183,19,"0,54",8,2,0,16
Kraj,Středočeský kraj,140,104,104,8,"0,00",10,2,0,11
Kraj,Středočeský kraj,238,156,155,18,"0,00",7,0,0,10
Kraj,Středočeský kraj,366,252,252,34,"0,00",15,4,0,8
Kraj,Středočeský kraj,180,108,108,7,"0,00",5,1,0,10
Kraj,Středočeský kraj,3090,1881,1867,216,"0,26",203,7,0,155
Kraj,Středočeský kraj,31,22,22,3,"0,00",1,0,0,3
Kraj,Středočeský kraj,231,146,144,3,"0,00",15,1,0,17
Kraj,Středočeský kraj,89,64,64,11,"0,00",3,0,0,1
Kraj,Středočeský kraj,319,227,225,23,"0,00",17,1,0,12
Kraj,Středočeský kraj,219,146,146,6,"0,00",14,1,0,8
Kraj,Středočeský kraj,82,51,51,6,"0,00",7,0,0,6
Kraj,Středočeský kraj,103,77,76,1,"0,00",8,2,0,10
Kraj,Středočeský kraj,670,461,459,59,"0,21",24,2,0,35
Kraj,Středočeský kraj,263,174,174,12,"0,00",5,2,0,12
Kraj,Středočeský kraj,82,54,54,8,"1,85",3,0,0,7
Kraj,Středočeský kraj,48,38,38,3,"0,00",4,0,0,1
Kraj,Středočeský kraj,249,165,165,3,"0,00",21,2,0,15
Kraj,Středočeský kraj,383,289,288,22,"0,00",25,2,0,17
Kraj,Středočeský kraj,179,137,137,16,"0,00",14,0,0,9
Kraj,Středočeský kraj,184,128,128,8,"0,00",15,0,0,7
Kraj,Středočeský kraj,105,75,75,4,"0,00",4,0,0,8
Kraj,Středočeský kraj,1029,643,634,62,"0,00",42,7,0,40
Kraj,Středočeský kraj,82,68,68,13,"0,00",3,0,0,5
Kraj,Středočeský kraj,4550,2943,2922,295,"0,17",175,33,0,265
Kraj,Středočeský kraj,455,290,289,30,"0,00",27,1,0,12
Kraj,Středočeský kraj,270,189,189,9,"0,00",9,2,0,15
Kraj,Středočeský kraj,9453,5687,5644,504,"0,15",534,32,0,465
Kraj,Středočeský kraj,84,43,43,5,"0,00",3,1,0,0
