kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
000000,Neznámá obec,262,181,181,23,"0,00",19,2,22,11,0,0,"0,00","10,49",0,"0,00",13,"7,18",1,"0,55","1,10",0,"0,00",0,"0,00",0,"0,00","12,15"
000000,Neznámá obec,135,102,101,12,"0,00",10,0,16,12,0,0,"0,00","9,90",0,"0,00",6,"5,94",1,"0,99","0,00",3,"2,97",0,"0,00",0,"0,00","15,84"
000000,Neznámá obec,272,152,152,21,"0,00",12,3,18,6,0,0,"0,00","7,89",0,"0,00",13,"8,55",3,"1,97","1,97",2,"1,31",1,"0,65",0,"0,00","11,84"
000000,Neznámá obec,155,99,99,7,"0,00",9,0,8,14,0,0,"0,00","9,09",0,"0,00",10,"10,10",0,"0,00","0,00",4,"4,04",0,"0,00",0,"0,00","8,08"
000000,Neznámá obec,243,172,171,11,"0,58",19,3,22,40,1,0,"0,00","11,11",0,"0,00",13,"7,60",3,"1,75","1,75",2,"1,16",0,"0,00",0,"0,00","12,86"
000000,Neznámá obec,1438,894,883,99,"0,11",70,7,128,83,1,1,"0,11","7,92",1,"0,11",49,"5,54",14,"1,58","0,79",13,"1,47",3,"0,33",0,"0,00","14,49"
000000,Neznámá obec,847,625,619,90,"0,00",35,5,101,54,0,0,"0,00","5,65",0,"0,00",40,"6,46",11,"1,77","0,80",7,"1,13",0,"0,00",0,"0,00","16,31"
000000,Neznámá obec,749,489,487,75,"0,00",23,9,51,54,0,0,"0,00","4,72",3,"0,61",34,"6,98",2,"0,41","1,84",10,"2,05",0,"0,00",0,"0,00","10,47"
000000,Neznámá obec,2508,1645,1639,246,"0,00",87,8,242,115,0,3,"0,18","5,30",2,"0,12",118,"7,19",18,"1,09","0,48",35,"2,13",2,"0,12",1,"0,06","14,76"
000000,Neznámá obec,568,354,353,53,"0,28",22,3,41,45,1,0,"0,00","6,23",1,"0,28",20,"5,66",2,"0,56","0,84",5,"1,41",0,"0,00",0,"0,00","11,61"
000000,Neznámá obec,810,418,414,36,"0,48",23,5,50,40,2,0,"0,00","5,55",0,"0,00",21,"5,07",10,"2,41","1,20",4,"0,96",1,"0,24",0,"0,00","12,07"
000000,Neznámá obec,1263,811,806,131,"0,24",33,8,108,61,2,0,"0,00","4,09",2,"0,24",53,"6,57",14,"1,73","0,99",24,"2,97",0,"0,00",1,"0,12","13,39"
000000,Neznámá obec,188,131,129,16,"0,00",9,2,14,6,0,0,"0,00","6,97",0,"0,00",20,"15,50",1,"0,77","1,55",1,"0,77",0,"0,00",0,"0,00","10,85"
000000,Neznámá obec,141,100,100,13,"0,00",4,1,7,15,0,0,"0,00","4,00",0,"0,00",16,"16,00",0,"0,00","1,00",1,"1,00",1,"1,00",0,"0,00","7,00"
000000,Neznámá obec,830,564,563,92,"0,17",43,4,66,40,1,1,"0,17","7,63",2,"0,35",42,"7,46",3,"0,53","0,71",10,"1,77",1,"0,17",0,"0,00","11,72"
000000,Neznámá obec,366,226,224,19,"0,00",16,2,24,34,0,0,"0,00","7,14",0,"0,00",7,"3,12",4,"1,78","0,89",4,"1,78",1,"0,44",1,"0,44","10,71"
000000,Neznámá obec,255,140,140,11,"0,71",7,0,8,17,1,1,"0,71","5,00",0,"0,00",12,"8,57",0,"0,00","0,00",1,"0,71",0,"0,00",0,"0,00","5,71"
000000,Neznámá obec,282,141,141,14,"0,00",7,0,20,11,0,0,"0,00","4,96",0,"0,00",5,"3,54",2,"1,41","0,00",1,"0,70",0,"0,00",1,"0,70","14,18"
000000,Neznámá obec,482,381,381,78,"0,00",18,3,60,31,0,0,"0,00","4,72",0,"0,00",22,"5,77",2,"0,52","0,78",2,"0,52",0,"0,00",1,"0,26","15,74"
000000,Neznámá obec,214,144,142,34,"0,00",10,0,6,11,0,0,"0,00","7,04",0,"0,00",8,"5,63",1,"0,70","0,00",1,"0,70",0,"0,00",0,"0,00","4,22"
000000,Neznámá obec,99,60,60,4,"0,00",6,0,3,11,0,0,"0,00","10,00",0,"0,00",1,"1,66",0,"0,00","0,00",3,"5,00",0,"0,00",0,"0,00","5,00"
