kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
537021,Běrunice,690,382,382,27,"0,78",40,4,25,30,3,0,"0,00","10,47",1,"0,26",28,"7,32",7,"1,83","1,04",7,"1,83",0,"0,00",0,"0,00","6,54"
537039,Bobnice,666,389,387,37,"0,00",33,2,27,31,0,0,"0,00","8,52",0,"0,00",42,"10,85",5,"1,29","0,51",3,"0,77",0,"0,00",0,"0,00","6,97"
537047,Bříství,268,193,190,26,"0,52",18,2,16,12,1,0,"0,00","9,47",0,"0,00",13,"6,84",2,"1,05","1,05",1,"0,52",0,"0,00",0,"0,00","8,42"
537055,Budiměřice,503,308,308,31,"0,00",21,1,39,27,0,0,"0,00","6,81",0,"0,00",16,"5,19",2,"0,64","0,32",1,"0,32",0,"0,00",0,"0,00","12,66"
599301,Černíky,101,66,64,8,"1,56",9,0,8,9,1,0,"0,00","14,06",0,"0,00",6,"9,37",2,"3,12","0,00",1,"1,56",0,"0,00",0,"0,00","12,50"
599671,Čilec,186,121,119,8,"0,84",8,2,13,9,1,0,"0,00","6,72",0,"0,00",11,"9,24",1,"0,84","1,68",1,"0,84",0,"0,00",0,"0,00","10,92"
537080,Činěves,433,246,243,17,"0,00",26,0,21,24,0,0,"0,00","10,69",0,"0,00",13,"5,34",3,"1,23","0,00",1,"0,41",0,"0,00",4,"1,64","8,64"
537098,Dlouhopolsko,194,139,139,20,"0,00",9,0,12,5,0,0,"0,00","6,47",0,"0,00",22,"15,82",1,"0,71","0,00",1,"0,71",0,"0,00",0,"0,00","8,63"
537101,Dobšice,185,114,114,25,"0,00",5,1,6,15,0,0,"0,00","4,38",0,"0,00",7,"6,14",1,"0,87","0,87",2,"1,75",0,"0,00",0,"0,00","5,26"
537110,Dvory,435,264,264,15,"0,00",22,2,23,26,0,0,"0,00","8,33",0,"0,00",20,"7,57",4,"1,51","0,75",3,"1,13",0,"0,00",0,"0,00","8,71"
