kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti
Kraj,Olomoucký kraj,205,145,144,29,"0,00",9,"2,77",0,17
Kraj,Olomoucký kraj,834,527,524,51,"0,00",28,"0,38",0,123
Kraj,Olomoucký kraj,431,279,275,13,"0,00",32,"0,36",0,40
Kraj,Olomoucký kraj,238,132,131,14,"0,00",9,"1,52",0,24
Kraj,Olomoucký kraj,376,236,236,20,"0,00",23,"1,27",0,22
Kraj,Olomoucký kraj,107,67,67,5,"0,00",4,"0,00",0,14
Kraj,Olomoucký kraj,695,460,460,25,"0,00",32,"0,65",0,47
Kraj,Olomoucký kraj,1224,656,655,54,"0,00",42,"0,76",0,61
Kraj,Olomoucký kraj,178,111,111,9,"0,90",9,"0,00",0,3
Kraj,Olomoucký kraj,331,208,206,6,"0,00",24,"0,48",0,22
Kraj,Olomoucký kraj,264,170,169,16,"0,00",19,"1,18",0,33
Kraj,Olomoucký kraj,426,281,280,16,"0,00",27,"1,78",0,42
Kraj,Olomoucký kraj,814,512,512,25,"0,19",66,"1,36",0,79
Kraj,Olomoucký kraj,437,272,272,21,"0,00",23,"1,83",0,46
Kraj,Olomoucký kraj,1063,649,642,49,"0,00",45,"0,31",0,76
Kraj,Olomoucký kraj,427,284,281,19,"0,00",12,"0,71",0,47
Kraj,Olomoucký kraj,270,172,170,13,"0,00",14,"2,94",0,13
Kraj,Olomoucký kraj,629,308,308,9,"0,00",22,"0,32",0,42
Kraj,Olomoucký kraj,459,244,244,24,"0,40",20,"0,81",0,37
Kraj,Olomoucký kraj,443,290,287,11,"0,00",29,"0,69",0,44
Kraj,Olomoucký kraj,1139,748,742,78,"0,13",42,"0,53",0,45
Kraj,Olomoucký kraj,380,220,219,6,"0,00",15,"0,45",0,28
Kraj,Olomoucký kraj,209,133,133,2,"0,75",11,"0,00",0,22
Kraj,Olomoucký kraj,83,67,65,4,"0,00",10,"0,00",0,0
Kraj,Olomoucký kraj,292,174,173,9,"0,00",9,"2,89",0,25
Kraj,Olomoucký kraj,749,454,452,16,"0,00",56,"0,22",0,48
Kraj,Olomoucký kraj,326,196,194,11,"0,00",16,"0,51",0,24
Kraj,Olomoucký kraj,178,109,109,12,"0,00",3,"0,91",0,22
Kraj,Olomoucký kraj,617,376,374,35,"0,00",24,"0,00",0,44
Kraj,Olomoucký kraj,191,90,88,3,"0,00",1,"0,00",0,18
Kraj,Olomoucký kraj,524,340,336,16,"0,29",34,"0,59",0,42
Kraj,Olomoucký kraj,390,238,237,32,"0,00",7,"0,42",0,36
Kraj,Olomoucký kraj,246,139,139,6,"1,43",9,"0,00",0,14
Kraj,Olomoucký kraj,289,140,140,7,"2,14",17,"0,00",0,17
Kraj,Olomoucký kraj,654,355,354,13,"0,56",17,"0,28",0,61
Kraj,Olomoucký kraj,238,165,165,6,"0,00",20,"1,81",0,33
Kraj,Olomoucký kraj,2285,1393,1358,91,"0,22",158,"1,03",0,154
Kraj,Olomoucký kraj,2302,1334,1323,97,"0,00",130,"1,66",0,86
Kraj,Olomoucký kraj,232,152,151,4,"0,00",14,"0,66",0,25
Kraj,Olomoucký kraj,1257,807,804,96,"0,12",53,"0,62",0,57
Kraj,Olomoucký kraj,465,284,284,22,"0,00",30,"0,35",0,34
Kraj,Olomoucký kraj,487,335,334,15,"0,29",18,"0,89",0,30
